point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,n,date
2019-06-19T14:00:00Z,2019-06-19T14:00:35Z,371887.79000049667,9929409.078130461,-0.6385281588897015,-76.15130512042059,9,2019-06-19
2019-06-19T14:15:00Z,2019-06-19T14:15:05Z,371843.6063068335,9929387.241187748,-0.6387255946085368,-76.15170217584895,12,2019-06-19
2019-06-19T14:30:00Z,2019-06-19T14:30:04Z,371826.782354163,9929392.483754998,-0.6386781390589853,-76.15185333648304,12,2019-06-19
2019-06-19T14:45:00Z,2019-06-19T14:45:05Z,371808.65277766774,9929378.884308929,-0.6388011155665392,-76.1520162667075,12,2019-06-19
2019-06-19T15:00:00Z,2019-06-19T15:00:04Z,371788.6814972065,9929345.137709014,-0.6391063286084773,-76.15219578612397,12,2019-06-19
2019-06-19T15:15:00Z,2019-06-19T15:15:04Z,371724.6296167314,9929310.5202033,-0.63941932982507,-76.15277139237406,12,2019-06-19
2019-06-19T15:30:00Z,2019-06-19T15:30:04Z,371661.11059894215,9929357.282067435,-0.638996218333237,-76.15334204631539,12,2019-06-19
2019-06-19T15:45:00Z,2019-06-19T15:45:04Z,371623.22679726745,9929406.094486574,-0.6385546107916461,-76.15368235157429,12,2019-06-19
2019-06-19T16:00:00Z,2019-06-19T16:00:04Z,371602.31456742215,9929436.205675442,-0.6382821989166129,-76.15387019701578,12,2019-06-19
2019-06-19T16:15:00Z,2019-06-19T16:15:04Z,371586.73707092425,9929488.32195888,-0.6378107518016795,-76.15401006304268,12,2019-06-19
2019-06-19T16:30:00Z,2019-06-19T16:30:05Z,371591.3962412445,9929531.330799147,-0.6374217267156161,-76.15396811160046,12,2019-06-19
2019-06-19T16:45:00Z,2019-06-19T16:45:04Z,371563.0220506139,9929561.919863595,-0.6371449772080761,-76.15422300529087,12,2019-06-19
2019-06-19T17:00:00Z,2019-06-19T17:00:04Z,371551.4956633519,9929598.86638256,-0.63681075580873725,-76.15432650085714,12,2019-06-19
2019-06-19T17:15:00Z,2019-06-19T17:15:04Z,371568.29020522034,9929603.562812537,-0.6367683084834239,-76.1541755846738,12,2019-06-19
2019-06-19T17:30:00Z,2019-06-19T17:30:04Z,371596.52148856665,9929607.112768771,-0.6367362546833971,-76.1539219063657,12,2019-06-19
2019-06-27T14:45:00Z,2019-06-27T14:44:50Z,371579.87755489774,9929613.734537993,-0.636676324066744,-76.15407144650742,12,2019-06-27
2019-06-27T15:00:00Z,2019-06-27T14:59:50Z,371557.07421317406,9929580.496169096,-0.6369769340335041,-76.15427641197402,12,2019-06-27
2019-06-27T15:15:00Z,2019-06-27T15:14:50Z,371545.44499170507,9929566.392379176,-0.6371044856509781,-76.15438093430579,12,2019-06-27
2019-06-27T15:30:00Z,2019-06-27T15:29:50Z,371550.57337267755,9929510.225085393,-0.6376125547166557,-76.15433496654904,12,2019-06-27
2019-06-27T15:45:00Z,2019-06-27T15:44:20Z,371567.684501917,9929483.94187538,-0.6378503329999088,-76.15418126806573,9,2019-06-27
2019-07-06T21:45:00Z,2019-07-06T21:44:53Z,371931.0890749591,9929443.569699364,-0.6382162543165592,-76.15091598825768,12,2019-07-06
2019-07-06T22:00:00Z,2019-07-06T21:59:53Z,371893.03976768773,9929408.983553555,-0.6385290250166935,-76.15125794895694,12,2019-07-06
2019-07-06T22:15:00Z,2019-07-06T22:14:53Z,371910.47287405265,9929425.873184584,-0.6383762857751993,-76.15110127022398,12,2019-07-06
2019-07-06T22:30:00Z,2019-07-06T22:29:53Z,371906.9129684061,9929420.66774857,-0.6384233641513684,-76.15113326814132,12,2019-07-06
2019-07-06T22:45:00Z,2019-07-06T22:44:03Z,371890.45973800716,9929413.360696753,-0.6384894265000877,-76.1512811229421,7,2019-07-06
2019-07-07T10:45:00Z,2019-07-07T10:45:01Z,371901.4168686103,9929424.986214532,-0.638384290491794,-76.15118264452408,12,2019-07-07
2019-07-07T11:00:00Z,2019-07-07T11:00:01Z,371906.1563571604,9929421.750978671,-0.6384135642999953,-76.15114006447405,12,2019-07-07
2019-07-07T11:15:00Z,2019-07-07T11:15:02Z,371907.798601467,9929419.673351852,-0.638432360724896,-76.15112531230749,12,2019-07-07
2019-07-07T11:30:00Z,2019-07-07T11:30:01Z,371904.91038907535,9929424.617112407,-0.6383876362667184,-76.151151254324,12,2019-07-07
